Name,Position,Scouting Report,Race
Shi Smith,WR,"Unspectacular but rock-steady production throughout career.
 Has shown ability to handle high volume of targets.
 Able to slip press fairly consistently.
 Improved elements of his route-running in 2020.
 Did a much better job of disguising slants and overall route intentions.
 Maintains play speed through cuts and stems.
 Speed to challenge downfield against single-man looks.
 Able to fight through heavy collisions and continue to play.
 Has gadget receiver potential.
 Good burst to elude tacklers on jet sweeps, pop passes and receiver screens.
 Offers kick return experience. Leggy and high cut.
 Absorbs route redirection too readily.
 Missed at least one game in all four seasons with different injuries.
 Creates contested catches by drifting in his routes.
 Needs to fight harder for catch space and work on his ball skills.
 Inconsistent focus and catch radius.
 Below average ball tracking downfield.",NW
Racey McMath,WR,"Great combination of size and speed.
 Feel for body positioning to shield coverage away from catch point.
 Secures the catch through bodies banging on him.
 Still has upside if route running can become more focused.
 Will dip to pluck low throws.
 Can be imposing vertical threat on occasion.
 Considered an ace on special teams. Will need to develop fundamentals at his position.
 Very limited production.
 Usually last receiver off the line of scrimmage.
 Easy to punch and disrupt from press.
 Tight hips limit ability to get in and out of breaks.
 Disheveled routes are easy for corners to read.
 Looks lost at times as a ball-tracker.
 Needs to learn when to sit down in space.",NW
Landon Young,OT,"Good overall size with adequate length.
 Has core strength to get after opponents in man-on-man battles.
 Adequate lateral movement to compete on cut-off blocks.
 Quiet hands in his pass sets.
 Fires with a quick, stiff punch.
 Good toughness in playing through the whistle.
 Was a highly rated tackle prospect out of high school.
 Teams will like his background in shot put, discus and wrestling. Pops upright when attempting to get to cut-off blocks.
 Needs to locate hands further inside with his punch.
 Excessive waist-bender at point of attack.
 Plays too far out in front of his feet and will fall off blocks.
 Tends to become too straight-legged as drive blocker.
 Speed rushers will give him trouble.
 Shows panic at the top of the rush and lunges.
 Footwork becomes erratic and base gets too narrow when he's on the move.
 Crossed up by inside rush counters.",W
Jonathan Marshall,DT,"Team captain praised for high character.
 Quick and explosive with good lean mass.
 First-step quickness off the ball.
 Nimble lateral bounce takes him inside the gaps.
 Skinny into gaps with shoulder turn and slap.
 Generated pocket pressure.
 Fluid and fast to work twists with rush consequence.
 Good basketball player and shot put thrower in high school. Only one season as a starter at Arkansas.
 Not a classic punch and extend two-gapper.
 Bullied around by double teams.
 Struggles to control blocks and maintain base on the move.
 Just 1.5 career sacks.
 Doesn't have a go-to counter to turn a pressure into a sack.
 Needs to stay lower in his edge-to-edge rush challenges.
 Pocket attack loses steam over second half of the game.",NW
Stone Forsythe,OT,"Big, long and strong.
 Wears weight proportionally for being so tall.
 Adequate fluidity in his pass slides as left tackle.
 Times punch to make rusher feel his length.
 Firm outside hand is a challenge to dislodge once he's in.
 Core power and hand strength to cinch up and mirror the rush.
 Resets hands with a flurry or jabs if he doesn't land first.
 Drops surprisingly stout anchor for his center of gravity.
 Generates movement on down blocks.
 Power in hips to torque and turn out a base block.
 Natural strength through contact.
 Adequate body adjustments in space. * Very high center of gravity slows change of direction.
* Not physically possible to get pads low enough at point of attack.
* Average hand quickness into first contact.
* Will need to improve angles up to linebackers.
* Plays too far forward as run blocker 
* Average instincts in pass protection.
* Needs to improve power slide to cut off B-gap.
* Needs to alter punch approach to keep rushers guessing.
* Occasional oversets and chases rushers out wide at times",NW
Jalen Camp,WR,"Rare combination of height, weight and explosiveness.
 Posted 40-inch vertical leap with ridiculous total of 30 reps on bench press at pro day.
 Plus hand-eye coordination with natural hands.
 Flashed incredible body control and catch radius against Florida State.
 At his best when allowed to explore the field on second and third levels.
 Exciting upside with traits to mismatch certain cornerbacks downfield.
 Has stretches of physical finishes after the catch.
 Size and strength to spring the outside run as blocker. Posted just 48 catches in 49 games with 5 career touchdowns.
 Wasted movement and clunky feet getting off press.
 Routes are very raw and need time to be corrected.
 Upright and lacking vertical push in early stages of route.
 Doesn't have short-area footwork to uncover underneath.
 Too gradual into his breaks and turns.
 Gives away info to coverage with early head turn.
 Rarely wiggles his way around tacklers after catch.",NW
Victor Dimukeje,EDGE,"Compact, powerful frame.
 Tremendously durable over four years.
 Leverage to set strong edge against tight ends.
 Stout lower body with workable anchor.
 Pursues from backside with gusto.
 Hands are heavy and forceful.
 Generates early push as power rusher.
 Effective rip-and-run to flatten to the quarterback.
 Good ability to dip under redirect blocks at top of the rush.
 Undeterred once he gets the sniff of an edge. One-speed rusher with short strides.
 Lacks acceleration up and around the turn.
 Will need to develop a go-to rush counter.
 Average closing burst to the quarterback.
 Telegraphs inside move and makes it with tall pad level.
 Length from tackles will give him problems.
 Glued to blocks when he's not in quick with his hands.
 Below-average pursuit speed if he loses contain.
 Has trouble playing through lateral engagements.",NW
Demetric Felton,WR,"Hybrid potential as running back and receiver.
 Loose and limber to slip around traffic as runner.
 Plays with unbridled energy and urgency.
 Looked very smooth and natural as receiver at Senior Bowl.
 Displays adequate foot quickness and hand fighting to counter press.
 Gains ground on coverage out of route stems.
 Hip sink to sell his double moves.
 Sudden hands to pluck throws right on top of him.
 Makes adjustments for throws outside his frame.
 Features running back power, vision and balance after the catch.
 Lower-body strength consistently shakes high tackle tries.
 Kick return experience in his background. * Lacks patience and will rush ahead of blocks.
* Catches punishing strikes as a runner.
* Will need more work and experience at receiver.
* Route tree had very few branches on it at UCLA.
* Average short-area footwork getting into breaks.
* Doesn't work back to quarterback from zone hole 
* Will need to develop hands and pass-catching instincts.
* Hasn't shown talent for finishing catch through contact",NW
Damar Hamlin,SAF,"Adequate size and length.
 Keys quarterback and early play design for clues.
 Showed off good play recognition against Florida State.
 Broke up 26 passes, including five interceptions, in the last three seasons.
 Good balance between dual receiver threats from zone.
 Overlaps his coverage to make a play underneath.
 Above-average ball skills when challenged at catch point.
 Feel for angles to make contact at the catch.
 Has ability to fit-up and wrap-up near the line of scrimmage. Missed time due to injury in 2016, 2017 and 2019.
 Vertical speed will rush by him.
 Modest burst to chase the route.
 Panics when his back is to the ball.
 Gets turned around tracking deep routes.
 Flies downhill way too hot as a tackler.
 Will default to risky leg dives at off angles.
 Indecisive with sticky feet as open-field tackler.",NW
Rachad Wildgoose,CB,"Feet for early mirror of release.
 Gives out rough rides for the first five yards.
 Quick to close distance on receiver early in route.
 Extremely physical and flusters the catch space.
 Reads eyes and times his scrapes.
 Displays adequate feel for route from trail.
 Short-area stickiness to hound the comeback route.
 Improvement in run defense from 2018 to 2019. Is often too early in declaring and opening hips.
 Doesn't trust technique and positioning.
 13 career pass interference/defensive holding penalties.
 Weight is too far forward when transitioning with the stem.
 Below-average burst to stay connected at break points.
 Needs to finish plays.
 Below-average length to attack the catch.",NW
Cole Van Lanen,G,"Built with sturdy, Midwestern mass.
 Hands are little charged up into first contact.
 Upper-body power to generate turn in kick-out blocks.
 Lower-body drive on ""gotta have it"" short-yardage blocks.
 Above-average understanding of hand placement.
 Quick eyes in adjusting blocks when appropriate.
 Turns corner and explodes into block on power blocks.
 Tackle experience will help in pass protection at guard. Plays with hip tightness and short arms.
 Pad level rises too tall in initial lateral movements.
 Could have issues reaching the nose in zone.
 Pass sets become too straight-legged.
 Needs to prove he can anchor inside without desired bend.
 Loses his base width when chasing blockers laterally.
 Punch is disjointed from his footwork.
 Average athletic ability to match sub-rushers.",W
Brady Breeze,SAF,"Plays like his hair is on fire.
 Instinctive, with a nose for the football.
 Recovered four fumbles and had three defensive TDs in 2019.
 Responsive to clues from the quarterback.
 Very decisive with downhill trigger to attack.
 Leads with chest to body and thud as a tackler.
 Adequate feel for angles when running the alley.
 Has perfect mentality as special teams bulldog.
 Designated torpedo as kick-return blocker, wiping out opponents. Below-average size to play in the box.
 Long speed is well below par.
 Will struggle when forced to match up one-on-one.
 Saw tight ends run by him in man coverage.
 Lacks short-area twitch and explosion.
 Unable to range and give help over the top consistently.
 Linear pursuit angles limit directional change as a tackler.
 Lacks lateral spring to expand tackle radius in open field.
 Lacks size/speed of a core special-teams guy in the NFL.",NW
Quincy Roche,EDGE,"Durable, reliable and productive.
 Posted 39.5 tackles for loss and 26 sacks over three years at Temple.
 Assails the pocket with controlled anger.
 Subtle hands have some effectiveness in discarding punch.
 Rip-and-run opens the corner for him.
 Stays low in edge-to-edge counters, improving success rate.
 Consistently forced and recovered fumbles.
 Will work to slide off blocks and find ball-carriers.
 Strength in upper body to battle tight ends at point of attack. Thin through his lower body.
 Tight hips, tight ankles.
 Not very explosive in race to the top of the rush.
 Unable to really sink and bend the edge.
 Looked ineffective and dull against Virginia Tech OT Christian Darrisaw.
 Body control sabotages balance at times.
 Below-average reactive athleticism.
 Not as fluid in movements as desired for 3-4 linebacker.
 No access to tight turns or sudden change of direction.",NW
Khalil Herbert,RB,"Received team's Williams-Moss Award for highest quality of leadership and character.
 Well-built with muscular, strong legs.
 Runs with easy tempo and good decisiveness.
 Able to gas it through line of scrimmage when hole develops.
 Instant, clear processing of run lanes while on the move.
 Maintains speed with smooth change of direction.
 Throws pursuit off with quick lane fakes and bounce outs.
 Speed to turn the corner on outside zone.
 Runs behind his pads and falls forward as finisher.
 Ball security and kick return potential are both a plus.
 His brothers were both collegiate athletes. Labored and ineffective when forced to stop-start.
 Lacks short-area wiggle to elude sudden traffic.
 Average creativity up to second level.
 Takes time to gather and cut.
 Unable to plant and go at sharp angles.
 Doesn't find his man consistently in pass pro.
 Effort and technique might make him a non-option on passing downs.",NW
Sam Ehlinger,QB,"Full-time starter for three-plus seasons.
 Well-built frame is durable and strong.
 List of intangibles is off the charts.
 Has experience with leading through adversity.
 Plays with dirt-dog toughness as a quarterback.
 Trusts his pocket but knows his way around it.
 Excellent climb and slide away from pressure without dropping his eyes.
 Displays adequate arm talent to make NFL throws.
 No fear in standing and delivering the throw in the face of pressure.
 Has become better decision-maker and more decisive over the years.
 Possesses value as a willing and able runner.
 Able to go get physical yardage near goal line or to move the chains. Defaulted to hero ball a little too often in 2020.
 Took too many chances rather than making the smart play.
 Carries the ball low while scanning in the pocket.
 Elongated dip and wind release.
 Gives safeties early jumps by locking in too early.
 Tightly muscled with some restriction in follow-through.
 Deep balls could use more air and better accuracy.
 Will take unnecessary sacks by holding the ball too long.",W
Seth Williams,WR,"Outstanding size and length with flashes of playmaking traits.
 Times slaps to rid himself of route riders.
 Faster than he looks once long legs uncoil.
 Adequate deep ball tracking.
 Flashes impressive wins with size and ball skills in red zone.
 Good in-air agility to rise, turn and secure it with body control.
 Wingspan and catch radius like a condor when he's extending.
 Able to drag cornerbacks for extra yardage after the catch. Only one career touchdown in eight games against LSU, Alabama and Georgia.
 Appears to be going through the motions at times.
 Doesn't present to quarterback like he wants the ball.
 Tight hips run lethargic routes that are easy to read and lack separation.
 Rarely leverages man coverage away from breakpoint.
 Tons of contested catch challenges with poor success rate.
 Hands aren't very sudden or sure.
 Doesn't have get-away quickness after the catch.",NW
Isaiah McDuffie,LB,"Coach's son with outstanding work ethic on and off the field.
 Toughness and intensity are trademarks.
 Relentless chase-and-tackle energy.
 Recognizes formations and tendencies from formations.
 Beats running back to the run lane in some cases.
 Rapid downhill trigger to attack ball-carrier or pass-catcher.
 Pursues with leverage but has burst to find his prey.
 Agility and GPS to work around interior traffic.
 Upper-body power to fling guards off of him.
 Little wasted motion to plant and drive down on the throw. Smallish as interior linebacker.
 Takes chances that get him stuck in traffic.
 Must learn to slip blocks and stay clean.
 Too small to separate quickly once block gets into him.
 Needs discipline to play his role and not search for every single tackle.
 Momentum gets away from him as open-field tackler.
 Off-balance tackle tries turn into broken arm tackles.
 Overestimates speed on extended pursuit angles.
 Ineffective playing pass from zone.",NW
Dazz Newsome,WR,"Makes himself faster through speed variations in his routes.
 Finds his top gear quickly.
 Choppy feet feed body control and directional change in routes.
 Instinctive body positioning and gear down to stack coverage.
 Won't back down and willing to work into the middle of the field.
 Runs with unbridled excitement after the catch.
 Body is split low, creating balance advantage through contact.
 Could offer immediate help as punt returner.
 Father and brother both played collegiately at Virginia Tech. Reliant upon energy over technique as route-runner.
 Cornerbacks don't seem to buy what he is selling.
 Too much wasted motion and energy in route fakes.
 Stems and breaks need to become much more crisp.
 Not a natural hands catcher.
 Struggles getting catch-ready in time for high throws.
 Inconsistent balance catching on the move.",NW
Thomas Fletcher,LS,"Took over full-time duty as both kick and punt snapper in 2018.
 No major snapping flubs during his time at Alabama.
 Earned a five-star rating at Chris Rubio's long-snapping academy.
 Decent speed to get downfield and cover. Undersized by NFL standards.
 Very average snap velocity.
 Inconsistent accuracy to target against Ole Miss and Georgia.",W
Tay Gowan,CB,"Added 20 pounds to his frame since coming into college.
 Limited experience but has ball production in his background.
 Grabbed six interceptions in junior college.
 Impressive use of length to recover.
 Instinctive timing at the high-point.
 Makes a strong effort to aggressively crowd and disrupt catches underneath.
 Strong challenger on 50/50 balls.
 Has a skill of slipping big blockers on the edge. Only one season as a starter at the FBS level.
 Bumpy backpedal in early match phase of the release.
 Below-average transitions into sprint.
 Slow to gather and redirect his weight downhill in coverage.
 Below-average closing burst on the throw.
 Speed-deficient when chasing vertical rabbits.
 Doesn’t find deep balls consistently.
 Loses too much coverage ground at break points.
 Needs to get stronger.",NW
JaCoby Stevens,SAF,"Very coachable and does what is asked of him.
 Has grown into leadership role and takes it seriously.
 Versatility to play hybrid safety/linebacker roles at LSU.
 Steps downhill and will play on the other side of the line when setting an edge.
 Racked up 21.5 tackles for loss during career.
 Stays low and ready as a striker.
 Adequate lateral transition to shade route break from off-man.
 Plays long and physically, turning contested catches into losses for receivers.
 Former receiver with plus ball skills when he's in position. Appears caught between a clean fit at safety or linebacker.
 Carried additional weight that made him slower and less agile in 2020.
 Below-average long speed to cover down the field or as high safety.
 Loses track of play development and finds himself out of position.
 Instincts fail to clue him in when asked to cover.
 Doesn't have the burst to close enough distance if he's not on top of target.
 Will need to learn to attack and control block as box safety or linebacker.
 Not much of a glass-eating mentality near the line.
 Too many missed tackles in space.",NW
Camaron Cheeseman,LS,"Three-year long and short snapper.
 Consistent placement on field goals and extra point snaps.
 Gets snaps off without much of a hitch. Inconsistent spiral with his long snaps.
 Made punter move too often with off-target snaps, with a tendency to sail it high.",NW
Trey Smith,G,"Elite size and length for the position.
 Frame is broad and thick.
 Very heavy-handed with plus upper-body strength.
 Able to throw a sack of bricks at opponent when he punches.
 Has physical potential to become dominant with better technique.
 Drive power to turn base blocks out of the gap.
 Can bang and cave his down-blocks.
 Knock-back pop on both first and second levels.
 Good job of finding targets on his short pulls.
 Sets a very firm anchor against bull rushers.
 Has faced off against a variety of current pro defenders during career. Lack of range shows up in run game and pass sets.
 Long first step, causing him to overshoot his landmark and lose positioning.
 Needs better footwork and hand clinch for improved sustain.
 Will cheat secure block to save time getting up to linebacker on combos.
 Plays with hitch and outside hands with pass punch.
 Below-average body control and recovery potential.
 Loses balance and positioning against rush counters.
 Struggles to redirect weight after biting on fakes in pass pro.
 Slide quickness to cut off the gaps is a concern.
 Has dealt with blood clotting issues.",NW
Israel Mukuamu,CB,"Height, weight and length are rare commodities at his position.
 Imposing frame makes early release difficult.
 Jab and lateral shuffle create roadblock from press.
 Long arms shade downfield throws from trail position.
 Quick plant and drive back to receiver from Cover 3 shuffle.
 Squeezes on top of dig routes from free safety.
 Physical traits make 50-50 balls a losing proposition for opponent.
 Soft hands and above-average ball skills for takeaways.
 Fairly reliable as a targeted tackler in run game.
 Centers and wraps ball-carrier when uncovered. Struggled some in coverage in 2020.
 High-cut frame leads to leggy transitions from press.
 Grabs and panics when beaten by sudden release.
 Clunky footwork in directional change from pedal.
 Interceptions often came when he was out of position.
 Stop-start features brief delay before acceleration.
 Not always a naturally aggressive player.
 Lacked urgency with run support duties from safety.",NW
Thomas Graham Jr.,CB,"Well-built frame.
 Impressive ball production as three-year starter.
 Good change of direction flowing downhill in coverage.
 Comfortable sinking and scanning in short zone.
 Plays with physical nature.
 Runs into the frame in run support.
 Willing to submarine pulling linemen to set an edge. Backpedal is upright and clunky.
 Gets hips opened prematurely by receivers.
 Tight hips are sticky in transitions.
 Gives away early separation that he struggles to close out.
 Recovery speed isn’t up to NFL standards.
 Lacks free-flowing athleticism to mirror routes.
 High center of gravity puts him on skates against comeback routes.",NW
Mike Strachan,WR,"Elite size and frame.
 Dominated his level of competition.
 Scored a touchdown in 18 of 22 games from 2018 to '19.
 Raw, with additional room for improvement.
 Learned to stair-step his routes.
 Beautiful over-the-shoulder ball-tracking talent.
 Able to work way above the rim for easy jump-ball wins. Beat up on a variety of small cornerbacks.
 Not much hip sink getting into his breaks.
 Needs extended runways to gather and open on intermediate routes.
 Below-average vertical charge to threaten the coverage.
 Room for improvement in putting a body on defender.
 Needs to use size more aggressively as run blocker.",NW
Jimmy Morrissey,C,"Four-year starter and two-year team captain.
 Praised as teammate and leader.
 Adequate hand usage and athleticism.
 Built for outside zone attack.
 Smooth getting out of stance and into pulling duties.
 Good radar and patience up to middle linebacker.
 High football IQ with ability to make calls along the line.
 Keeps eyes scanning in pass pro. Looks very small on the field.
 Lack of length diminishes potential against two-gappers.
 Below average pop-fitting into run blocks.
 Closes hips into down blocks, limiting climb agility.
 Doesn't have staying power to sustain consistently.
 Disappointing protection recovery from gap-to-gap.
 Bullies will power rush can overtake him.",W
Larnel Coleman,OT,"Athletic feet in space to shuffle and find positioning.
 Makes adjustments to land and sustain blocks against linebackers.
 Feet don't stop running through the block.
 Brings his feet with him to stuff and redirect challenges on his edge.
 Flashes his hands to keep rusher off-balance pre-punch.
 Throws punch with conviction.
 Adequate body control and hand strength to cinch up the block.
 Clear eyes see incoming twists and games. Too much arm wiggle and wasted motion post-snap.
 Not much hip roll into first contact in run game.
 Hand placement can get away from him as drive blocker.
 Can do better at maintaining knee bend through all three phases of the block.
 Pass sets are a little rigid and awkward.
 Punch needs to be more concise and accurate.
 Gets too far out over his skis in run and pass blocking.
 Had some issues with bull rush against Liberty.",NW
Phil Hoskins,DT,"Good size and length.
 Wingspan is almost seven feet long.
 Gets it going very quickly after the snap.
 Active and plays hard through the whistle.
 Ability to dart into gaps and create disruption.
 Nimble on his feet.
 Creates problems inside the pocket with his spin counter.
 Feet always moving forward and looking for a rush edge. Disappointing bench press total of 20 at his pro day.
 Plays fast, but can be a little out of control.
 Struggles with his technique.
 Inconsistent hand usage in taking on blocks.
 Can be knocked to the ground by power.
 Pass rush wears down as game progresses.
 Needs to create a plan for early stages of the rush.",NW
Jake Funk,RB,"Explosive testing at Maryland pro day opened some eyes.
 Racked up impressive tackle totals on coverage teams.
 Muscular with dense trunk.
 Bends and drives through contact to fall forward.
 Build-up speed can pull away from defenders.
 Plus separation burst out of routes.
 Displays good catch focus. Suffered two torn ACL injuries on the same knee (2018 and '19).
 Needs to improve pass-protection technique.
 Wiggle after the catch is just average.
 Not as much burst through the line as expected.
 Inconsistent access to sudden-cut quickness along interior.
 Would like to see better feel for run-lane development.
 Not overly creative in gaining his own yardage.",W
Patrick Johnson,EDGE,"Well-schooled and technically sound.
 Frame is compact and powerful with big hands.
 Varies angles of entry against the tackle.
 Searches for and finds half-man rush attacks.
 Talented hand fighter with swipe to displace outside punch hand.
 Moves fluidly on twists and spin counters.
 Takes advantage of the chance to hit a quarterback.
 First strike is aggressive and violent.
 Punch is well-targeted and from a point of leverage.
 Sheds power to rid himself of blockers. A little tight in the hips and ankles.
 Pass pro competition was below average.
 Slightly below-average burst to the edge.
 Longer tackles can redirect his rush.
 Pedestrian counter-attack once centered by the block.
 Neutralizes rather than wins at point of attack.
 Limited tackle radius from the box.
 Prematurely dives rather than running feet through contact.",NW
Wyatt Hubert,DE,"Revs his engine from snap to whistle.
 Spent plenty of time in the opposing backfield.
 More than 36 percent of his career tackles went for a loss.
 Good first-step quickness and aggressive charge into neutral zone.
 Knee-bend and shoulder-dip to dart under blocker into gap.
 Possesses desired hip flexion for longer lateral movements.
 Strong base to play through blocker's edge.
 Has enough anchor to set a strong post against down blocks.
 Capable of setting a firm edge.
 Sudden inside on two-way rush goes.
 Leg drive to flatten the edge and squeeze pocket at top of rush.
 Personal protector on punt team. High-cut and leggy mover in space.
 Heavy feet with sluggish redirection.
 Gets too far upfield, exposing easier pathway to C-gap for runner.
 Below-average pursuit range off the edge.
 Love the motor, but might need to play with better control.
 Loses track of where football is at times.
 Face-up rusher with no real counters.
 Needs to use hands to set up rush rather than charge forward.
 An average landed punch from blocker kills rush momentum.",W
Jack Anderson,G,"Plays with good overall foot quickness.
 Churns feet and drives through down blocks.
 Capable of cross-facing and walling off the nose on zone.
 Can handle short- and long-pull duties.
 Patient and athletic when climbing up to linebackers.
 Has no problem with mixing it up and brawling.
 Punch is fairly compact with inside hands.
 Will put something extra in his hands to jolt rusher.
 Quick-trigger mirror steps to catch inside moves.
 Turns feet out and unlocks his hips to activate his anchor.
 Looks for additional work in pass pro when uncovered. High-cut with long legs.
 Missed most of 2019 with a shoulder injury.
 Play can get wild and out of control.
 Run-blocking footwork is random at times.
 Wide first step will get him in trouble in run game.
 Hard charging on the move and needs better body control.
 Has tendency to lunge into his punch.
 Lack of core power leaves him fighting to hang on.",W
Kary Vincent Jr.,CB,"Scouts say he's hardworking and smart.
 Has played free safety and slot corner.
 Loose, agile and highly athletic.
 Capable of mirroring release from a smooth pedal.
 Easy feet and hips for fluid transitions.
 Big acceleration to stay in phase against deep routes.
 Track speed with rare recovery burst.
 Clean change of direction in space.
 Flashes impressive ball skills when he's able to contest the catch.
 Actively seeks to undercut routes and make plays on the ball.
 Upside talent if challenged and cultivated. Coverage can be loose and undisciplined at times.
 Relies on athletic ability over technique.
 Gets too grabby at the top of the route.
 Pattern recognition is underdeveloped and needs work.
 Ball instincts are below average.
 Struggles finding football and establishing position downfield.
 Panics with his back to the ball.
 Needs better-timed attacks on the football.
 Takes some poor angles as a tackler.
 Stays wired to perimeter blocks and out of the process in run support.",NW
Matt Farniok,G,"Two-time team captain.
 Has experience at tackle, guard and center.
 Impressive short-area quickness testing.
 Adequate wingspan and strength.
 Patient not to rush the fit into double teams.
 Runs feet through contact.
 Has enough quickness to get to his second-level target.
 Can drop a quick pass anchor. Lands high on double teams, allowing defender to slip through.
 Needs better hip-to-hip action with his teammate.
 Lands with some pop but doesn't sustain with hand control.
 Defenders play under his pads.
 Straight-line mover who misses moving targets.
 Mirror fails him.
 Slightly below-average body control in pass sets.
 Allows too much heat to get to his edge.",W
Jonathon Cooper,DE,"Muscular frame and carries an NFL body.
 Had a really strong performance against Indiana in close game.
 Sells hard upfield on tackle/end twists.
 Possesses some lift and drive push in power rush.
 Some firmness in his rush chops.
 Bull rush picks up steam if he can create early movement.
 Tough to cut off when slanting into B-gaps.
 Physical approach in challenging tight ends at line of scrimmage. Below-average snap reaction.
 Play is mechanical and segmented.
 Lacks awareness and instincts.
 Needs better control of the point of attack with his hands.
 Loses too much ground when trying to hold the edge.
 Below-average pursuit acceleration when forced to slow feet.
 Sticky feet make for poor tackle agility.
 Very basic rush approach.
 Nothing to offer when stalled at the top of his rush.",NW
Will Bradley-King,DE,"* Plays with high football IQ and rush savvy.
* Flashes maniacal rush motor up to the top of the rush.
* Long, powerful second and third steps.
* Has developed a myriad of attack moves.
* Heavy hand swipes, fluid stab-and-slap and effective rip-and-run 
* Widens tackles out from inside rush positioning before making inside move.
* Always targets throwing arm, creating strip sacks.
* Active hands in the passing lane.
* Plays with knee bend to stay under the pads of blockers.
* Strong in his upper half.
* Slides into positioning before striking against move blocks.
* Impressive start-stop in his change of direction Average twitch and overall athleticism.
 His traits might be caught between base end and stand-up rusher.
 Pressure rate and sack total dropped with step up in competition
 Struggles in overtaking blocker when he gets behind early in the rep.
 Some tightness in upper body when attempting to flip the corner.
 Plays with very average closing burst.
 A little lethargic getting off of clenched-up blocks.
 Still room for improvement as an edge-setter.",NW
Mark Webb,SAF,"Good size with heavy pads as tackler.
 Upper-body strength to set edge from the slot.
 Hustles into contain angles versus outside run.
 Takes on bigger bodies at point of attack and doesn't flinch.
 Displayed disruptive qualities as add-on defender in the box.
 Looks to close and get physical to limit catch success down the field.
 Shows ability to strike pass catchers. Very limited ball production.
 Labors to flip and go.
 Transitions are languid and ineffective in short spaces.
 Will have trouble in recovery mode.
 Poor early acceleration to stay connected to routes.
 Dropped more interceptions than he made.
 Limited athletic ability as open-field tackler.",NW
Tre Nixon,WR,"Active hands and sudden feet for press release.
 Stair-steps defender off the route.
 Crisp short-area footwork on intermediate routes.
 Puts head down and drives hard into go routes.
 Route-running talent to uncover on all three levels.
 Excellent stop and return on curls.
 Works back to his quarterback. Shoulder injury took him out of action for most of last fall.
 Needs to better disguise in-breaking routes.
 Can improve with foot acclimation near sideline.
 Hands do not inspire confidence from quarterback.
 Ball-tracking is labored and inconsistent.
 Has trouble battling against size on deep balls.
 Almost no experience on special teams.",NW
James Wiggins,SAF,"Very explosive for his position.
 Immense weight room strength and is an A+ tester with leaps and speed.
 Plays with his feet under his pads.
 Impressive ball production in 2018 with four interceptions and five other passes defensed.
 Pure speed to range from hash and help over the top.
 Twitched-up trigger to burst forward and challenge the throw.
 Strikes pass catchers with force to jar pass loose.
 Good physicality taking on blocks in space.
 Keeps eyes on ball-carrier when attacking blocks.
 Steps downhill with desired aggression in run support.
 Returned kicks in 2018. Can improve route recognition.
 Short-strider who fails to make up ground quickly in transitions.
 Gave away would-be interceptions with drops.
 Rarely turns to find the football when working down the field.
 Will need to read run keys for quicker downhill charge.
 Tight-hipped with limited reactive range as a tackler.
 Lacking knock-back power for build.
 Too small to cover tight ends.
 Missed 2019 with an ACL tear.",NW
Gerrid Doaks,RB,"Broad lower body with thick legs.
 Productivity hurt by inconsistent blocking at times.
 Gets his speed up when hitting the outside carry.
 Good forward lean and lowered pads as finisher.
 Size and strength to pinball off tacklers when he's cranked up.
 Improved in 2020 at keeping his feet moving through contact.
 Puts pepper into his chip blocks and blitz pickups. Not very quick out of his stance.
 Blurry field vision in reading the defensive front.
 Lethargic feet slow jump-cuts and lateral movements.
 Doesn't show much savvy getting through lanes cleanly.
 Won't wiggle enough to elude tacklers.
 Fumbling issues need to be corrected.
 Pass-catching can be a labor for him.",NW
Tre Norwood,CB,"Possesses NFL size and frame.
 Has safety and cornerback experience in background.
 Decent ball skills with soft hands.
 Finished with five interceptions over last six games.
 Took interception back for a touchdown against Florida QB Kyle Trask in Cotton Bowl.
 Can take on more expanded role as safety.
 Good downhill speed to run the alley.
 Recognition of run-play development and where it is headed.
 Offers kick and punt coverage experience. Missed 2019 with knee injury.
 Had issues staying in phase with routes at Senior Bowl.
 Hiccup in his transitions from press.
 Once he gets behind, he stays behind.
 Unable to find acceleration to recover and challenge the route.
 Below-average pattern reader.
 Lacks functional agility to recover through coverage missteps.
 Fails to come to balance in downhill run support.
 Grab-and-drag tackler.",NW
Shaka Toney,EDGE,"Selected as team captain his senior season.
 Keeps hat and pads low when coming off the ball.
 Lateral movement is fluid and sudden.
 Unusually slippery as a run defender.
 Rangy, with some closing speed to pursue.
 Can punch and shuffle around kick-out blocks.
 Explosive upfield charge to set up his rush.
 Uses long lateral slide to separate on inside counters.
 Hides numbers so tackles can't get squared punch.
 Bendy at top of the rush to balance against redirects. Smooth body lacks cut and prime definition.
 Doesn't always play with optimal juice and energy.
 Can be bullied off his spot at point of attack.
 Below-average physicality.
 Play strength will need work.
 Looks uncomfortable when asked to drop in space.
 Might need to rush with a hand in the ground.
 Very little speed to power conversions.
 Simple inside punch can stuff his inside move.",NW
